State,Year,Quarter,district,registeredUsers
andhra-pradesh,2022,3,visakhapatnam ,3397514
andhra-pradesh,2022,3,prakasam ,1567520
andhra-pradesh,2022,3,anantapur ,2030824
andhra-pradesh,2022,3,kurnool ,1924127
andhra-pradesh,2022,3,guntur ,2647100
andhra-pradesh,2022,3,krishna ,2685215
andhra-pradesh,2022,3,spsr nellore ,1588875
andhra-pradesh,2022,3,vizianagaram ,995141
andhra-pradesh,2022,3,ysr ,1487140
andhra-pradesh,2022,3,west godavari ,1805967
andhra-pradesh,2022,3,chittoor ,2517657
andhra-pradesh,2022,4,east godavari ,2835087
andhra-pradesh,2022,4,srikakulam ,1204785
andhra-pradesh,2022,4,visakhapatnam ,3566854
andhra-pradesh,2022,4,prakasam ,1642503
andhra-pradesh,2022,4,anantapur ,2128066
andhra-pradesh,2022,4,kurnool ,2018290
andhra-pradesh,2022,4,guntur ,2774365
andhra-pradesh,2022,4,krishna ,2813645
andhra-pradesh,2022,4,spsr nellore ,1663684
andhra-pradesh,2022,4,vizianagaram ,1044490
andhra-pradesh,2022,4,ysr ,1556901
andhra-pradesh,2022,4,west godavari ,1893310
andhra-pradesh,2022,4,chittoor ,2636036
andhra-pradesh,2023,1,east godavari ,2965296
andhra-pradesh,2023,1,srikakulam ,1263204
andhra-pradesh,2023,1,visakhapatnam ,3732544
andhra-pradesh,2023,1,prakasam ,1719910
andhra-pradesh,2023,1,anantapur ,2228505
andhra-pradesh,2023,1,kurnool ,2114023
andhra-pradesh,2023,1,guntur ,2900895
andhra-pradesh,2023,1,krishna ,2941585
andhra-pradesh,2023,1,spsr nellore ,1740294
andhra-pradesh,2023,1,vizianagaram ,1094782
andhra-pradesh,2023,1,ysr ,1628595
andhra-pradesh,2023,1,west godavari ,1980446
andhra-pradesh,2023,1,chittoor ,2755784
andhra-pradesh,2023,2,east godavari ,3082893
andhra-pradesh,2023,2,srikakulam ,1317771
andhra-pradesh,2023,2,visakhapatnam ,3877504
andhra-pradesh,2023,2,prakasam ,1792637
andhra-pradesh,2023,2,anantapur ,2323796
andhra-pradesh,2023,2,kurnool ,2202517
andhra-pradesh,2023,2,guntur ,3014655
andhra-pradesh,2023,2,krishna ,3054956
andhra-pradesh,2023,2,spsr nellore ,1811781
andhra-pradesh,2023,2,vizianagaram ,1141578
andhra-pradesh,2023,2,ysr ,1694843
andhra-pradesh,2023,2,west godavari ,2059880
andhra-pradesh,2023,2,chittoor ,2865250
andhra-pradesh,2023,3,east godavari ,3211557
andhra-pradesh,2023,3,srikakulam ,1375950
andhra-pradesh,2023,3,visakhapatnam ,4035323
andhra-pradesh,2023,3,prakasam ,1868997
andhra-pradesh,2023,3,anantapur ,2421293
andhra-pradesh,2023,3,kurnool ,2295754
andhra-pradesh,2023,3,guntur ,3137289
andhra-pradesh,2023,3,krishna ,3177643
andhra-pradesh,2023,3,spsr nellore ,1887005
andhra-pradesh,2023,3,vizianagaram ,1190571
andhra-pradesh,2023,3,ysr ,1764648
andhra-pradesh,2023,3,west godavari ,2146530
andhra-pradesh,2023,3,chittoor ,2981337
arunachal-pradesh,2018,1,lower subansiri ,498
arunachal-pradesh,2018,1,tirap ,557
arunachal-pradesh,2018,1,papum pare ,7649
arunachal-pradesh,2018,1,anjaw ,278
arunachal-pradesh,2018,1,lower siang ,270
arunachal-pradesh,2018,1,dibang valley ,66
arunachal-pradesh,2018,1,west kameng ,2202
arunachal-pradesh,2018,1,shi yomi ,49
arunachal-pradesh,2018,1,east kameng ,222
arunachal-pradesh,2018,1,lohit ,1207
arunachal-pradesh,2018,1,lepa rada ,210
arunachal-pradesh,2018,1,lower dibang valley ,601
arunachal-pradesh,2018,1,longding ,256
arunachal-pradesh,2018,1,west siang ,846
arunachal-pradesh,2018,1,kamle ,22
arunachal-pradesh,2018,1,upper siang ,301
arunachal-pradesh,2018,1,kurung kumey ,97
arunachal-pradesh,2018,1,siang ,192
arunachal-pradesh,2018,1,kra daadi ,88
arunachal-pradesh,2018,1,changlang ,1208
arunachal-pradesh,2018,1,pakke kessang ,39
arunachal-pradesh,2018,1,east siang ,1803
arunachal-pradesh,2018,1,upper subansiri ,572
arunachal-pradesh,2018,1,tawang ,1525
arunachal-pradesh,2018,1,namsai ,737
arunachal-pradesh,2018,2,lower subansiri ,724
arunachal-pradesh,2018,2,tirap ,856
arunachal-pradesh,2018,2,papum pare ,11418
arunachal-pradesh,2018,2,anjaw ,410
arunachal-pradesh,2018,2,lower siang ,494
arunachal-pradesh,2018,2,dibang valley ,112
arunachal-pradesh,2018,2,west kameng ,3442
arunachal-pradesh,2018,2,shi yomi ,80
arunachal-pradesh,2018,2,east kameng ,343
arunachal-pradesh,2018,2,lohit ,1898
arunachal-pradesh,2018,2,lepa rada ,318
arunachal-pradesh,2018,2,lower dibang valley ,893
arunachal-pradesh,2018,2,longding ,412
arunachal-pradesh,2018,2,west siang ,1224
arunachal-pradesh,2018,2,kamle ,37
arunachal-pradesh,2018,2,upper siang ,481
arunachal-pradesh,2018,2,kurung kumey ,153
arunachal-pradesh,2018,2,siang ,293
arunachal-pradesh,2018,2,kra daadi ,144
arunachal-pradesh,2018,2,changlang ,2014
arunachal-pradesh,2018,2,pakke kessang ,66
arunachal-pradesh,2018,2,east siang ,2646
arunachal-pradesh,2018,2,upper subansiri ,883
arunachal-pradesh,2018,2,tawang ,2266
arunachal-pradesh,2018,2,namsai ,1276
arunachal-pradesh,2018,3,lower subansiri ,1033
arunachal-pradesh,2018,3,tirap ,1226
arunachal-pradesh,2018,3,papum pare ,16009
arunachal-pradesh,2018,3,anjaw ,542
arunachal-pradesh,2018,3,lower siang ,717
arunachal-pradesh,2018,3,dibang valley ,145
arunachal-pradesh,2018,3,west kameng ,4765
arunachal-pradesh,2018,3,shi yomi ,118
arunachal-pradesh,2018,3,east kameng ,521
arunachal-pradesh,2018,3,lohit ,2612
arunachal-pradesh,2018,3,lepa rada ,431
arunachal-pradesh,2018,3,lower dibang valley ,1286
arunachal-pradesh,2018,3,longding ,644
arunachal-pradesh,2018,3,west siang ,1652
arunachal-pradesh,2018,3,kamle ,65
arunachal-pradesh,2018,3,upper siang ,646
arunachal-pradesh,2018,3,kurung kumey ,222
arunachal-pradesh,2018,3,siang ,373
arunachal-pradesh,2018,3,kra daadi ,190
arunachal-pradesh,2018,3,changlang ,2889
arunachal-pradesh,2018,3,pakke kessang ,103
arunachal-pradesh,2018,3,east siang ,3590
arunachal-pradesh,2018,3,upper subansiri ,1169
arunachal-pradesh,2018,3,tawang ,3112
arunachal-pradesh,2018,3,namsai ,1862
